Q [mAh],V [V]
0.005318,2.676355
0.010634,2.657689
0.01595,2.638866
0.021266,2.635755
0.026581,2.636844
0.031898,2.639644
0.037213,2.640578
0.042529,2.638244
0.047844,2.6272
0.05316,2.582556
0.058477,2.591889
0.063792,2.537911
0.069109,2.476
0.074425,2.371156
0.07974,2.256668
0.085057,2.113713
0.090373,1.990669
0.095688,1.918025
0.101004,1.864203
0.106319,1.831692
0.111636,1.814269
0.116951,1.803847
0.122266,1.796381
0.127581,1.791092
0.132896,1.787358
0.138213,1.78347
0.14353,1.779114
0.148845,1.77367
0.15416,1.765425
0.159475,1.753603
0.164791,1.737425
0.170108,1.71627
0.175423,1.690292
0.180739,1.662292
0.186054,1.63367
0.191368,1.606137
0.196685,1.578759
0.201999,1.553404
0.207314,1.535826
0.212631,1.52447
0.217947,1.515448
0.223264,1.505026
